,codigo_municipio,ano,dado_identificador,valor,tipo_dado
1127,1500859,2015,PIB TOTAL,302093000.0,float
1134,1500909,2015,PIB TOTAL,287174000.0,float
1141,1500958,2015,PIB TOTAL,257268000.0,float
1148,1501006,2015,PIB TOTAL,97996000.0,float
1155,1501105,2015,PIB TOTAL,147607000.0,float
1162,1501204,2015,PIB TOTAL,307389000.0,float
1169,1501253,2015,PIB TOTAL,68221000.0,float
1176,1501303,2015,PIB TOTAL,5513144000.0,float
1183,1501402,2015,PIB TOTAL,29215036000.0,float
1190,1501451,2015,PIB TOTAL,140052000.0,float
1197,1501501,2015,PIB TOTAL,1202057000.0,float
1204,1501576,2015,PIB TOTAL,134478000.0,float
1211,1501600,2015,PIB TOTAL,86352000.0,float
1218,1501709,2015,PIB TOTAL,976997000.0,float
1225,1501725,2015,PIB TOTAL,208756000.0,float
1232,1501758,2015,PIB TOTAL,64269000.0,float
1239,1501782,2015,PIB TOTAL,518458000.0,float
1246,1501808,2015,PIB TOTAL,653059000.0,float
1253,1501907,2015,PIB TOTAL,394742000.0,float
1260,1501956,2015,PIB TOTAL,151957000.0,float
1267,1502004,2015,PIB TOTAL,159323000.0,float
1274,1502103,2015,PIB TOTAL,987906000.0,float
1281,1502152,2015,PIB TOTAL,3478390000.0,float
1288,1502202,2015,PIB TOTAL,958387000.0,float
1295,1502301,2015,PIB TOTAL,438832000.0,float
1302,1502400,2015,PIB TOTAL,3207269000.0,float
1309,1502509,2015,PIB TOTAL,167194000.0,float
1316,1502608,2015,PIB TOTAL,65837000.0,float
1323,1502707,2015,PIB TOTAL,520879000.0,float
1330,1502756,2015,PIB TOTAL,260414000.0,float
1337,1502764,2015,PIB TOTAL,231360000.0,float
1344,1502772,2015,PIB TOTAL,344416000.0,float
1351,1502806,2015,PIB TOTAL,477864000.0,float
1358,1502855,2015,PIB TOTAL,97742000.0,float
1365,1502905,2015,PIB TOTAL,241752000.0,float
1372,1502939,2015,PIB TOTAL,567684000.0,float
1379,1502954,2015,PIB TOTAL,287743000.0,float
1386,1503002,2015,PIB TOTAL,50485000.0,float
1393,1503044,2015,PIB TOTAL,331441000.0,float
1400,1503077,2015,PIB TOTAL,192280000.0,float
1407,1503093,2015,PIB TOTAL,324651000.0,float
1414,1503101,2015,PIB TOTAL,197032000.0,float
1421,1503200,2015,PIB TOTAL,298323000.0,float
1428,1503309,2015,PIB TOTAL,374547000.0,float
1435,1503408,2015,PIB TOTAL,95257000.0,float
1442,1503457,2015,PIB TOTAL,436248000.0,float
1449,1503507,2015,PIB TOTAL,204242000.0,float
1456,1503606,2015,PIB TOTAL,1601843000.0,float
1463,1503705,2015,PIB TOTAL,453461000.0,float
1470,1503754,2015,PIB TOTAL,202240000.0,float
1477,1503804,2015,PIB TOTAL,458521000.0,float
1484,1503903,2015,PIB TOTAL,768414000.0,float
1491,1504000,2015,PIB TOTAL,404797000.0,float
1498,1504059,2015,PIB TOTAL,276718000.0,float
1505,1504109,2015,PIB TOTAL,59783000.0,float
1512,1504208,2015,PIB TOTAL,7305741000.0,float
1519,1504307,2015,PIB TOTAL,186807000.0,float
1526,1504406,2015,PIB TOTAL,185508000.0,float
1533,1504422,2015,PIB TOTAL,1592877000.0,float
1540,1504455,2015,PIB TOTAL,624718000.0,float
1547,1504505,2015,PIB TOTAL,140741000.0,float
1554,1504604,2015,PIB TOTAL,253839000.0,float
1561,1504703,2015,PIB TOTAL,741243000.0,float
1568,1504752,2015,PIB TOTAL,125707000.0,float
1575,1504802,2015,PIB TOTAL,612761000.0,float
1582,1504901,2015,PIB TOTAL,232487000.0,float
1589,1504950,2015,PIB TOTAL,179038000.0,float
1596,1504976,2015,PIB TOTAL,133679000.0,float
1603,1505007,2015,PIB TOTAL,100631000.0,float
1610,1505031,2015,PIB TOTAL,467114000.0,float
1617,1505064,2015,PIB TOTAL,736960000.0,float
1624,1505106,2015,PIB TOTAL,533829000.0,float
1631,1505205,2015,PIB TOTAL,359088000.0,float
1638,1505304,2015,PIB TOTAL,1722278000.0,float
1645,1505403,2015,PIB TOTAL,156196000.0,float
1652,1505437,2015,PIB TOTAL,504260000.0,float
1659,1505486,2015,PIB TOTAL,433942000.0,float
1666,1505494,2015,PIB TOTAL,53301000.0,float
1673,1505502,2015,PIB TOTAL,2394332000.0,float
1680,1505536,2015,PIB TOTAL,11184354000.0,float
1687,1505551,2015,PIB TOTAL,73398000.0,float
1694,1505601,2015,PIB TOTAL,48552000.0,float
1701,1505635,2015,PIB TOTAL,180801000.0,float
1708,1505650,2015,PIB TOTAL,235473000.0,float
1715,1505700,2015,PIB TOTAL,187380000.0,float
1722,1505809,2015,PIB TOTAL,446246000.0,float
1729,1505908,2015,PIB TOTAL,218556000.0,float
1736,1506005,2015,PIB TOTAL,226131000.0,float
1743,1506104,2015,PIB TOTAL,81542000.0,float
1750,1506112,2015,PIB TOTAL,75765000.0,float
1757,1506138,2015,PIB TOTAL,1467916000.0,float
1764,1506161,2015,PIB TOTAL,360821000.0,float
1771,1506187,2015,PIB TOTAL,481472000.0,float
1778,1506195,2015,PIB TOTAL,287612000.0,float
1785,1506203,2015,PIB TOTAL,348010000.0,float
1792,1506302,2015,PIB TOTAL,143257000.0,float
1799,1506351,2015,PIB TOTAL,132624000.0,float
1806,1506401,2015,PIB TOTAL,61148000.0,float
1813,1506500,2015,PIB TOTAL,609611000.0,float
1820,1506559,2015,PIB TOTAL,138283000.0,float
1827,1506583,2015,PIB TOTAL,250099000.0,float
1834,1506609,2015,PIB TOTAL,203834000.0,float
1841,1506708,2015,PIB TOTAL,686482000.0,float
1848,1506807,2015,PIB TOTAL,3970093000.0,float
1855,1506906,2015,PIB TOTAL,39878000.0,float
1862,1507003,2015,PIB TOTAL,297319000.0,float
1869,1507102,2015,PIB TOTAL,114215000.0,float
1876,1507151,2015,PIB TOTAL,220134000.0,float
1883,1507201,2015,PIB TOTAL,247892000.0,float
1890,1507300,2015,PIB TOTAL,1212882000.0,float
1897,1507409,2015,PIB TOTAL,165795000.0,float
1904,1507458,2015,PIB TOTAL,312905000.0,float
1911,1507466,2015,PIB TOTAL,37866000.0,float
1918,1507474,2015,PIB TOTAL,131343000.0,float
1925,1507508,2015,PIB TOTAL,104666000.0,float
1932,1507607,2015,PIB TOTAL,560272000.0,float
1939,1507706,2015,PIB TOTAL,169416000.0,float
1946,1507755,2015,PIB TOTAL,89659000.0,float
1953,1507805,2015,PIB TOTAL,113430000.0,float
1960,1507904,2015,PIB TOTAL,165410000.0,float
1967,1507953,2015,PIB TOTAL,789823000.0,float
1974,1507961,2015,PIB TOTAL,63158000.0,float
1981,1507979,2015,PIB TOTAL,484668000.0,float
1988,1508001,2015,PIB TOTAL,557048000.0,float
1995,1508035,2015,PIB TOTAL,187974000.0,float
2002,1508050,2015,PIB TOTAL,226746000.0,float
2009,1508084,2015,PIB TOTAL,664104000.0,float
2016,1508100,2015,PIB TOTAL,4409818000.0,float
2023,1508126,2015,PIB TOTAL,1336059000.0,float
2030,1508159,2015,PIB TOTAL,499254000.0,float
2037,1508209,2015,PIB TOTAL,352008000.0,float
2044,1508308,2015,PIB TOTAL,434230000.0,float
2051,1508357,2015,PIB TOTAL,805867000.0,float
2058,1508407,2015,PIB TOTAL,1075410000.0,float
2065,1600055,2015,PIB TOTAL,60383000.0,float
2072,1600105,2015,PIB TOTAL,131867000.0,float
2079,1600154,2015,PIB TOTAL,288571000.0,float
2086,1600204,2015,PIB TOTAL,136608000.0,float
2093,1600212,2015,PIB TOTAL,64196000.0,float
2100,1600238,2015,PIB TOTAL,351803000.0,float
2107,1600253,2015,PIB TOTAL,57149000.0,float
2114,1600279,2015,PIB TOTAL,531997000.0,float
2121,1600303,2015,PIB TOTAL,9126377000.0,float
2128,1600402,2015,PIB TOTAL,204408000.0,float
2135,1600501,2015,PIB TOTAL,305452000.0,float
2142,1600535,2015,PIB TOTAL,295789000.0,float
2149,1600550,2015,PIB TOTAL,56518000.0,float
2156,1600600,2015,PIB TOTAL,1936602000.0,float
2163,1600709,2015,PIB TOTAL,165606000.0,float
2170,1600808,2015,PIB TOTAL,147967000.0,float
